hhidpn_key,wave,year,children_has_group_raw,children_inperson_raw,children_inperson_freqscore,children_phone_raw,children_phone_freqscore,children_written_email_raw,children_written_email_freqscore,other_relatives_has_group_raw,other_relatives_inperson_raw,other_relatives_inperson_freqscore,other_relatives_phone_raw,other_relatives_phone_freqscore,other_relatives_written_email_raw,other_relatives_written_email_freqscore,friends_has_group_raw,friends_inperson_raw,friends_inperson_freqscore,friends_phone_raw,friends_phone_freqscore,friends_written_email_raw,friends_written_email_freqscore
3010,8,2006,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,5.0,1.0,4.0,2.0,4.0,2.0,1.0,5.0,1.0,4.0,2.0,4.0,2.0
3020,8,2006,1.0,3.0,3.0,2.0,4.0,2.0,4.0,1.0,3.0,3.0,4.0,2.0,5.0,1.0,1.0,2.0,4.0,2.0,4.0,2.0,4.0
10001010,8,2006,,,,,,,,,,,,,,,,,,,,,
10003030,8,2006,5.0,6.0,,6.0,,6.0,,5.0,6.0,0.0,6.0,0.0,6.0,0.0,5.0,6.0,0.0,6.0,0.0,6.0,0.0
10004010,8,2006,,3.0,3.0,2.0,4.0,,,1.0,4.0,2.0,2.0,4.0,6.0,0.0,1.0,1.0,5.0,1.0,5.0,6.0,0.0
10004040,8,2006,5.0,,,,,,,1.0,4.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,5.0,2.0,4.0,2.0,4.0
10013010,8,2006,1.0,6.0,0.0,6.0,0.0,6.0,0.0,1.0,3.0,3.0,1.0,5.0,6.0,0.0,1.0,4.0,2.0,3.0,3.0,6.0,0.0
10013040,8,2006,1.0,4.0,2.0,2.0,4.0,3.0,3.0,1.0,3.0,3.0,1.0,5.0,3.0,3.0,1.0,2.0,4.0,1.0,5.0,1.0,5.0
10038010,8,2006,1.0,3.0,3.0,2.0,4.0,6.0,0.0,1.0,5.0,1.0,4.0,2.0,4.0,2.0,1.0,4.0,2.0,4.0,2.0,6.0,0.0
10038040,8,2006,1.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,2.0,4.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
10050010,8,2006,5.0,,,,,,,1.0,5.0,1.0,5.0,1.0,4.0,2.0,1.0,2.0,4.0,3.0,3.0,2.0,4.0
10059020,8,2006,1.0,3.0,3.0,2.0,4.0,5.0,1.0,1.0,2.0,4.0,2.0,4.0,6.0,0.0,1.0,2.0,4.0,2.0,4.0,6.0,0.0
10059030,8,2006,,,,,,,,,,,,,,,,,,,,,
10063010,8,2006,,,,,,,,,,,,,,,,,,,,,
10075020,8,2006,,,,,,,,,,,,,,,,,,,,,
10075030,8,2006,,,,,,,,,,,,,,,,,,,,,
10083010,8,2006,,,,,,,,,,,,,,,,,,,,,
10083020,8,2006,,,,,,,,,,,,,,,,,,,,,
10097040,8,2006,,,,,,,,,,,,,,,,,,,,,
10109030,8,2006,1.0,1.0,5.0,1.0,5.0,5.0,1.0,1.0,5.0,1.0,3.0,3.0,6.0,0.0,1.0,4.0,2.0,4.0,2.0,6.0,0.0
10147010,8,2006,1.0,1.0,5.0,1.0,5.0,,,1.0,1.0,5.0,1.0,5.0,6.0,0.0,1.0,2.0,4.0,1.0,5.0,6.0,0.0
10196010,8,2006,1.0,1.0,5.0,1.0,5.0,6.0,0.0,1.0,2.0,4.0,1.0,5.0,6.0,0.0,1.0,6.0,0.0,3.0,3.0,6.0,0.0
10206010,8,2006,,,,,,,,,,,,,,,,,,,,,
10210010,8,2006,,,,,,,,,,,,,,,,,,,,,
10210020,8,2006,,,,,,,,,,,,,,,,,,,,,
10225010,8,2006,1.0,3.0,3.0,2.0,4.0,6.0,0.0,1.0,2.0,4.0,1.0,5.0,3.0,3.0,1.0,2.0,4.0,1.0,5.0,3.0,3.0
10281010,8,2006,,,,,,,,,,,,,,,,,,,,,
10281020,8,2006,,,,,,,,,,,,,,,,,,,,,
10299010,8,2006,,,,,,,,,,,,,,,,,,,,,
10299012,8,2006,,,,,,,,,,,,,,,,,,,,,
10372010,8,2006,,,,,,,,,,,,,,,,,,,,,
10394010,8,2006,,,,,,,,,,,,,,,,,,,,,
10394040,8,2006,,,,,,,,,,,,,,,,,,,,,
10395010,8,2006,,,,,,,,,,,,,,,,,,,,,
10395020,8,2006,,,,,,,,,,,,,,,,,,,,,
10397010,8,2006,,,,,,,,,,,,,,,,,,,,,
10397040,8,2006,,,,,,,,,,,,,,,,,,,,,
10404010,8,2006,1.0,4.0,2.0,2.0,4.0,6.0,0.0,1.0,4.0,2.0,3.0,3.0,6.0,0.0,1.0,2.0,4.0,1.0,5.0,6.0,0.0
10433010,8,2006,,,,,,,,,,,,,,,,,,,,,
10451010,8,2006,1.0,4.0,2.0,2.0,4.0,2.0,4.0,1.0,4.0,2.0,3.0,3.0,4.0,2.0,1.0,2.0,4.0,2.0,4.0,5.0,1.0
10451020,8,2006,1.0,4.0,2.0,2.0,4.0,6.0,0.0,1.0,4.0,2.0,2.0,4.0,6.0,0.0,1.0,2.0,4.0,2.0,4.0,6.0,0.0
10453010,8,2006,1.0,4.0,2.0,2.0,4.0,6.0,0.0,1.0,1.0,5.0,1.0,5.0,6.0,0.0,1.0,2.0,4.0,1.0,5.0,6.0,0.0
10453020,8,2006,1.0,4.0,2.0,2.0,4.0,6.0,0.0,1.0,4.0,2.0,1.0,5.0,6.0,0.0,1.0,1.0,5.0,2.0,4.0,6.0,0.0
10458020,8,2006,1.0,3.0,3.0,4.0,2.0,6.0,0.0,5.0,,0.0,,0.0,,0.0,5.0,,0.0,,0.0,,0.0
10458030,8,2006,1.0,2.0,4.0,1.0,5.0,6.0,0.0,1.0,3.0,3.0,2.0,4.0,6.0,0.0,1.0,5.0,1.0,4.0,2.0,6.0,0.0
10465010,8,2006,,,,,,,,,,,,,,,,,,,,,
10475010,8,2006,,,,,,,,,,,,,,,,,,,,,
10475011,8,2006,,,,,,,,,,,,,,,,,,,,,
10477010,8,2006,,,,,,,,,,,,,,,,,,,,,
10477020,8,2006,,,,,,,,,,,,,,,,,,,,,
10481010,8,2006,1.0,5.0,1.0,2.0,4.0,3.0,3.0,1.0,2.0,4.0,3.0,3.0,5.0,1.0,1.0,3.0,3.0,4.0,2.0,3.0,3.0
10481020,8,2006,1.0,6.0,0.0,2.0,4.0,3.0,3.0,1.0,2.0,4.0,3.0,3.0,6.0,0.0,1.0,4.0,2.0,4.0,2.0,3.0,3.0
10482010,8,2006,,,,,,,,,,,,,,,,,,,,,
10533010,8,2006,,,,,,,,,,,,,,,,,,,,,
10533011,8,2006,,,,,,,,,,,,,,,,,,,,,
10537010,8,2006,,5.0,1.0,1.0,5.0,4.0,2.0,1.0,5.0,1.0,1.0,5.0,4.0,2.0,1.0,3.0,3.0,2.0,4.0,4.0,2.0
10546010,8,2006,1.0,2.0,4.0,1.0,5.0,4.0,2.0,1.0,,,,,,,1.0,1.0,5.0,,,,
10565020,8,2006,,,,,,,,,,,,,,,,,,,,,
10568010,8,2006,,,,,,,,,,,,,,,,,,,,,
10571010,8,2006,1.0,2.0,4.0,1.0,5.0,,,1.0,2.0,4.0,1.0,5.0,,,5.0,6.0,0.0,6.0,0.0,6.0,0.0
10577010,8,2006,,,,,,,,,,,,,,,,,,,,,
10577011,8,2006,,,,,,,,,,,,,,,,,,,,,
10592010,8,2006,,,,,,,,,,,,,,,,,,,,,
10600010,8,2006,,,,,,,,,,,,,,,,,,,,,
10611010,8,2006,,,,,,,,,,,,,,,,,,,,,
10645030,8,2006,,,,,,,,,,,,,,,,,,,,,
10645031,8,2006,,,,,,,,,,,,,,,,,,,,,
10648010,8,2006,1.0,3.0,3.0,3.0,3.0,4.0,2.0,1.0,4.0,2.0,4.0,2.0,6.0,0.0,1.0,5.0,1.0,3.0,3.0,6.0,0.0
10648020,8,2006,5.0,,,,,,,1.0,,,2.0,4.0,2.0,4.0,1.0,,,,,,
10652010,8,2006,1.0,5.0,1.0,3.0,3.0,6.0,0.0,1.0,5.0,1.0,3.0,3.0,6.0,0.0,1.0,3.0,3.0,3.0,3.0,6.0,0.0
10672030,8,2006,,,,,,,,,,,,,,,,,,,,,
10672031,8,2006,,,,,,,,,,,,,,,,,,,,,
10707010,8,2006,,,,,,,,,,,,,,,,,,,,,
10707020,8,2006,,,,,,,,,,,,,,,,,,,,,
10719020,8,2006,,,,,,,,,,,,,,,,,,,,,
10719030,8,2006,,,,,,,,,,,,,,,,,,,,,
10740010,8,2006,,,,,,,,,,,,,,,,,,,,,
10756010,8,2006,,,,,,,,,,,,,,,,,,,,,
10756011,8,2006,,,,,,,,,,,,,,,,,,,,,
10769010,8,2006,1.0,4.0,2.0,2.0,4.0,3.0,3.0,1.0,4.0,2.0,2.0,4.0,2.0,4.0,1.0,4.0,2.0,3.0,3.0,2.0,4.0
10769040,8,2006,1.0,,,1.0,5.0,2.0,4.0,1.0,4.0,2.0,3.0,3.0,5.0,1.0,1.0,1.0,5.0,3.0,3.0,2.0,4.0
10773020,8,2006,,,,,,,,,,,,,,,,,,,,,
10773030,8,2006,,,,,,,,,,,,,,,,,,,,,
10775020,8,2006,,,,,,,,,,,,,,,,,,,,,
10775030,8,2006,,,,,,,,,,,,,,,,,,,,,
10776010,8,2006,,,,,,,,,,,,,,,,,,,,,
10818010,8,2006,1.0,4.0,2.0,5.0,1.0,6.0,0.0,1.0,5.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,4.0,2.0,4.0,2.0,4.0
10818040,8,2006,1.0,4.0,2.0,1.0,5.0,1.0,5.0,1.0,1.0,5.0,1.0,5.0,3.0,3.0,1.0,2.0,4.0,2.0,4.0,2.0,4.0
10822010,8,2006,,,,,,,,,,,,,,,,,,,,,
10822040,8,2006,,,,,,,,,,,,,,,,,,,,,
10893010,8,2006,,,,,,,,,,,,,,,,,,,,,
10896010,8,2006,,,,,,,,,,,,,,,,,,,,,
10902010,8,2006,1.0,4.0,2.0,3.0,3.0,5.0,1.0,1.0,4.0,2.0,3.0,3.0,5.0,1.0,1.0,3.0,3.0,3.0,3.0,5.0,1.0
10917010,8,2006,1.0,3.0,3.0,2.0,4.0,2.0,4.0,1.0,4.0,2.0,3.0,3.0,1.0,5.0,1.0,3.0,3.0,2.0,4.0,2.0,4.0
10941010,8,2006,,5.0,1.0,1.0,5.0,6.0,0.0,1.0,3.0,3.0,1.0,5.0,6.0,0.0,1.0,,,,,,
10962010,8,2006,,,,,,,,,,,,,,,,,,,,,
10989010,8,2006,1.0,3.0,3.0,2.0,4.0,4.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,4.0,3.0,3.0,6.0,0.0
10989020,8,2006,1.0,3.0,3.0,2.0,4.0,4.0,2.0,1.0,2.0,4.0,3.0,3.0,4.0,2.0,1.0,2.0,4.0,2.0,4.0,4.0,2.0
10994010,8,2006,,,,,,,,,,,,,,,,,,,,,
11010010,8,2006,5.0,,,,,,,1.0,,,4.0,2.0,6.0,0.0,1.0,2.0,4.0,1.0,5.0,5.0,1.0
11067020,8,2006,5.0,,,,,,,1.0,6.0,0.0,3.0,3.0,3.0,3.0,1.0,5.0,1.0,3.0,3.0,2.0,4.0
11067030,8,2006,5.0,,,,,,,1.0,6.0,0.0,5.0,1.0,5.0,1.0,1.0,5.0,1.0,4.0,2.0,3.0,3.0
