cohort,timepoint,wave,year,relationship,modality,analysis_score,count,percent_among_nonmissing_analysis_scores
A,T1,8,2006,children,inperson,0,173,4.813578185865331
A,T1,8,2006,children,inperson,1,392,10.9070673344463
A,T1,8,2006,children,inperson,2,583,16.221480244852533
A,T1,8,2006,children,inperson,3,863,24.01224262659989
A,T1,8,2006,children,inperson,4,1009,28.07456872565387
A,T1,8,2006,children,inperson,5,574,15.971062882582082
A,T1,8,2006,children,phone,0,46,1.26861555432984
A,T1,8,2006,children,phone,1,35,0.9652509652509652
A,T1,8,2006,children,phone,2,139,3.8334252619966906
A,T1,8,2006,children,phone,3,512,14.120242691671264
A,T1,8,2006,children,phone,4,1341,36.98290126861556
A,T1,8,2006,children,phone,5,1553,42.82956425813569
A,T1,8,2006,children,written_email,0,1427,43.37386018237082
A,T1,8,2006,children,written_email,1,319,9.696048632218845
A,T1,8,2006,children,written_email,2,365,11.094224924012158
A,T1,8,2006,children,written_email,3,550,16.717325227963524
A,T1,8,2006,children,written_email,4,429,13.03951367781155
A,T1,8,2006,children,written_email,5,200,6.079027355623101
A,T1,8,2006,other_relatives,inperson,0,674,17.511041829046505
A,T1,8,2006,other_relatives,inperson,1,700,18.186541958950375
A,T1,8,2006,other_relatives,inperson,2,771,20.031176929072487
A,T1,8,2006,other_relatives,inperson,3,764,19.849311509482984
A,T1,8,2006,other_relatives,inperson,4,621,16.134060795011692
A,T1,8,2006,other_relatives,inperson,5,319,8.287866978435957
A,T1,8,2006,other_relatives,phone,0,335,8.6340206185567
A,T1,8,2006,other_relatives,phone,1,193,4.974226804123711
A,T1,8,2006,other_relatives,phone,2,553,14.25257731958763
A,T1,8,2006,other_relatives,phone,3,1039,26.778350515463917
A,T1,8,2006,other_relatives,phone,4,976,25.15463917525773
A,T1,8,2006,other_relatives,phone,5,784,20.20618556701031
A,T1,8,2006,other_relatives,written_email,0,1908,53.445378151260506
A,T1,8,2006,other_relatives,written_email,1,393,11.008403361344538
A,T1,8,2006,other_relatives,written_email,2,432,12.100840336134453
A,T1,8,2006,other_relatives,written_email,3,444,12.436974789915967
