cohort,timepoint,wave,year,relationship,modality,variable,dct_question_label,observed_substantive_codes,observed_nonstandard_numeric_codes,blank_count,n_designated_cohort_wave
A,T1,8,2006,children,inperson,KLB009A,Q09A. MEET UP WITH CHILDREN,1|2|3|4|5|6,,552,4157
A,T1,8,2006,children,phone,KLB009B,Q09B. SPEAK ON THE PHONE WITH CHILDREN,1|2|3|4|5|6,,520,4157
A,T1,8,2006,children,written_email,KLB009C,Q09C. WRITE OR EMAIL CHILDREN,1|2|3|4|5|6,,856,4157
A,T1,8,2006,other_relatives,inperson,KLB013A,Q13A. MEET UP WITH OTH FAMILY MEMBERS,1|2|3|4|5|6,,486,4157
A,T1,8,2006,other_relatives,phone,KLB013B,Q13B. SPEAK ON PHONE WITH OTH FAM MEM,1|2|3|4|5|6,,454,4157
A,T1,8,2006,other_relatives,written_email,KLB013C,Q13C. WRITE OR EMAIL OTH FAMILY MEMBERS,1|2|3|4|5|6,,770,4157
A,T1,8,2006,friends,inperson,KLB017A,Q17A. MEET UP WITH FRIENDS,1|2|3|4|5|6,,492,4157
A,T1,8,2006,friends,phone,KLB017B,Q17B. SPEAK ON PHONE WITH FRIENDS,1|2|3|4|5|6,,495,4157
A,T1,8,2006,friends,written_email,KLB017C,Q17C. WRITE OR EMAIL FRIENDS,1|2|3|4|5|6,,842,4157
B,T1,9,2008,children,inperson,LLB009A,Q09A. MEET UP WITH CHILDREN,1|2|3|4|5|6,,425,3674
B,T1,9,2008,children,phone,LLB009B,Q09B. SPEAK ON THE PHONE WITH CHILDREN,1|2|3|4|5|6,,389,3674
B,T1,9,2008,children,written_email,LLB009C,Q09C. WRITE OR EMAIL CHILDREN,1|2|3|4|5|6,,560,3674
B,T1,9,2008,other_relatives,inperson,LLB013A,Q13A. MEET UP WITH OTH FAMILY MEMBERS,1|2|3|4|5|6,,353,3674
B,T1,9,2008,other_relatives,phone,LLB013B,Q13B. SPEAK ON PHONE WITH OTH FAM MEM,1|2|3|4|5|6,,324,3674
B,T1,9,2008,other_relatives,written_email,LLB013C,Q13C. WRITE OR EMAIL OTH FAMILY MEMBERS,1|2|3|4|5|6,,486,3674
B,T1,9,2008,friends,inperson,LLB017A,Q17A. MEET UP WITH FRIENDS,1|2|3|4|5|6,,299,3674
