timepoint,A_year,B_year,relationship,modality,A_valid_n,B_valid_n,A_mean_frequency_score_0_to_5,B_mean_frequency_score_0_to_5,B_minus_A_mean_score,max_absolute_category_difference_percentage_points,cramers_v,chi_square_p,jensen_shannon_divergence_bits
T1,2006,2008,children,inperson,3484,3141,3.080654420206659,3.0366125437758678,-0.04404187643079105,1.2581643980523471,0.022241066715078354,0.6573408702450632,0.00035769036880668324
T1,2006,2008,children,phone,3513,3176,4.125818388841446,4.138853904282116,0.013035515440670054,1.1233285364687207,0.03398223789247096,0.17209243235917754,0.0008413901312676293
T1,2006,2008,children,written_email,3190,3016,1.6630094043887147,1.75,0.0869905956112853,2.540993489269351,0.0508834295274875,0.0066523115837206544,0.0018697698089139873
T1,2006,2008,other_relatives,inperson,3621,3276,2.3689588511460924,2.28021978021978,-0.08873907092631228,2.680917076111772,0.0477809180212996,0.007608060714322177,0.0016527254651854863
T1,2006,2008,other_relatives,phone,3649,3303,3.3340641271581255,3.3402966999697243,0.0062325728115988355,1.4432680223688654,0.0253831211841305,0.48267211402830235,0.00046578549374829076
T1,2006,2008,other_relatives,written_email,3346,3146,1.2743574417214585,1.3343928798474254,0.0600354381259669,1.6898658587513604,0.029396645669719505,0.34601920329028896,0.0006234460636964246
T1,2006,2008,friends,inperson,3602,3301,3.2704053303720158,3.2350802787034234,-0.035325051668592344,1.293720661768405,0.024136051530525202,0.5463482484681903,0.00042048209970180174
T1,2006,2008,friends,phone,3597,3304,3.5640811787600777,3.5762711864406778,0.012190007680600079,3.7533547932397218,0.04879399069402964,0.005717198035330512,0.001721434308663889
T1,2006,2008,friends,written_email,3261,3107,1.3541858325666973,1.5017701963308658,0.1475843637641685,3.1793261045011456,0.04440637453810894,0.027900899425327384,0.001423010813088394
T2,2010,2012,children,inperson,3525,3035,2.996028368794326,2.975617792421746,-0.020410576372579925,1.8938390176078137,0.04150020198613817,0.045780137690348374,0.001250556660869851
T2,2010,2012,children,phone,3580,3079,4.101396648044693,4.082169535563494,-0.01922711248119846,2.233602653404482,0.03386428281192378,0.1774411708700937,0.0008307345382063524
T2,2010,2012,children,written_email,3360,2964,1.7160714285714285,1.6784750337381917,-0.037596394833236735,2.2012965105070337,0.035717620754181466,0.1525366236963728,0.0009278454927766147
T2,2010,2012,other_relatives,inperson,3647,3183,2.3125856868659174,2.2862079798931827,-0.02637770697273467,0.9729160803456038,0.02210285167528378,0.6482275975947529,0.0003539204617846281
T2,2010,2012,other_relatives,phone,3678,3208,3.3425774877650896,3.349127182044888,0.006549694279798235,0.5973036413859323,0.01316127590870956,0.945567452125164,0.0001254540973550074
T2,2010,2012,other_relatives,written_email,3482,3115,1.3271108558299827,1.31107544141252,-0.01603541441746259,1.518471976493649,0.023322687175499447,0.6100523281812315,0.0003945842052361778
T2,2010,2012,friends,inperson,3666,3165,3.1958537915984726,3.164928909952607,-0.03092488164586582,0.8835902089910364,0.02239523187708767,0.6346034856305404,0.00036261173591121184
T2,2010,2012,friends,phone,3682,3179,3.507876154263987,3.5218622208241586,0.01398606656017165,0.6765781483899551,0.01989912576747584,0.7435499371486103,0.0002889171709836479
T2,2010,2012,friends,written_email,3472,3082,1.460541474654378,1.4944841012329657,0.03394262657858782,1.3860209571258109,0.031894037551270946,0.2466132207190111,0.0007367654177039732

COLUMN_EXPLANATION_START,column_name,meaning,interpretation,,,,,,,,,,
COLUMN_EXPLANATION,timepoint,Analogous cohort timepoint being compared.,T1 compares A-2006 with B-2008; T2 compares A-2010 with B-2012.,,,,,,,,,,
COLUMN_EXPLANATION,A_year,Calendar year for Cohort A at this timepoint.,2006 at T1 and 2010 at T2.,,,,,,,,,,
COLUMN_EXPLANATION,B_year,Calendar year for Cohort B at this timepoint.,2008 at T1 and 2012 at T2.,,,,,,,,,,
COLUMN_EXPLANATION,relationship,Relationship domain.,"children, other_relatives, or friends.",,,,,,,,,,
COLUMN_EXPLANATION,modality,Contact method.,"inperson, phone, or written_email.",,,,,,,,,,
COLUMN_EXPLANATION,A_valid_n,Number of valid raw frequency responses in Cohort A.,Denominator for Cohort A's six-category distribution.,,,,,,,,,,
COLUMN_EXPLANATION,B_valid_n,Number of valid raw frequency responses in Cohort B.,Denominator for Cohort B's six-category distribution.,,,,,,,,,,
COLUMN_EXPLANATION,A_mean_frequency_score_0_to_5,Mean reverse-coded contact-frequency score in Cohort A.,Higher means more frequent contact.,,,,,,,,,,
COLUMN_EXPLANATION,B_mean_frequency_score_0_to_5,Mean reverse-coded contact-frequency score in Cohort B.,Higher means more frequent contact.,,,,,,,,,,
COLUMN_EXPLANATION,B_minus_A_mean_score,Difference in mean score: B minus A.,Positive means B is higher; negative means A is higher.,,,,,,,,,,
COLUMN_EXPLANATION,max_absolute_category_difference_percentage_points,Largest absolute A/B difference across the six raw response-category percentages.,Intuitive measure of the biggest single-category distribution shift.,,,,,,,,,,
COLUMN_EXPLANATION,cramers_v,Effect-size measure for association between cohort and the six-category distribution.,0 means no distributional association; larger values mean stronger A/B differences.,,,,,,,,,,
COLUMN_EXPLANATION,chi_square_p,Chi-square p-value comparing the full six-category distributions.,Large samples can make small differences significant; interpret alongside effect sizes.,,,,,,,,,,
COLUMN_EXPLANATION,jensen_shannon_divergence_bits,Symmetric divergence between the two full category probability distributions.,0 means identical distributions; values close to 0 indicate very similar shapes.,,,,,,,,,,
COLUMN_EXPLANATION_END,,,,,,,,,,,,,
