section,contact_domain,cohort,contact_transition,loneliness_category,count,denominator,percent,notes
contact_transition_distribution,Friends,A,Maintained frequent contact (1→1),,1540,2891,53.3,Denominator = participants with valid T1 and T2 contact in this domain and valid self-completed T1/T2 loneliness.
contact_transition_distribution,Friends,A,Increased contact (0→1),,378,2891,13.1,Denominator = participants with valid T1 and T2 contact in this domain and valid self-completed T1/T2 loneliness.
contact_transition_distribution,Friends,A,Decreased contact (1→0),,394,2891,13.6,Denominator = participants with valid T1 and T2 contact in this domain and valid self-completed T1/T2 loneliness.
contact_transition_distribution,Friends,A,Maintained infrequent contact (0→0),,579,2891,20.0,Denominator = participants with valid T1 and T2 contact in this domain and valid self-completed T1/T2 loneliness.
contact_transition_x_loneliness_category,Friends,A,Maintained frequent contact (1→1),Loneliness decreased,367,2891,12.7,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_x_loneliness_category,Friends,A,Maintained frequent contact (1→1),Loneliness stable,766,2891,26.5,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_x_loneliness_category,Friends,A,Maintained frequent contact (1→1),Loneliness increased,407,2891,14.1,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_x_loneliness_category,Friends,A,Increased contact (0→1),Loneliness decreased,122,2891,4.2,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_x_loneliness_category,Friends,A,Increased contact (0→1),Loneliness stable,167,2891,5.8,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_x_loneliness_category,Friends,A,Increased contact (0→1),Loneliness increased,89,2891,3.1,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_x_loneliness_category,Friends,A,Decreased contact (1→0),Loneliness decreased,81,2891,2.8,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
contact_transition_x_loneliness_category,Friends,A,Decreased contact (1→0),Loneliness stable,179,2891,6.2,Loneliness categories are descriptive only; the proposed primary model retains loneliness change as a continuous variable.
