term,term_label,estimate,hc3_standard_error,ci_95_low,ci_95_high,t_value,df,p_value,domain,domain_label,model
Intercept,Intercept,-0.232886308155,0.0126597198827,-0.257704859828,-0.208067756483,-18.395850012,5043,3.36002426223e-73,friends,Friends,Categorical-change Model 3
cog_T2,Cognition at T2,1.07683211003,0.00330918964557,1.07034466047,1.08331955959,325.406587523,5043,0,friends,Friends,Categorical-change Model 3
ucla3_T1,Loneliness at T1,-0.000327165973504,0.00440317792364,-0.00895930790346,0.00830497595645,-0.0743022378787,5043,0.940772843348,friends,Friends,Categorical-change Model 3
change_decreasing,Decreasing loneliness vs stable,-0.00284149824424,0.00638113382187,-0.015351293165,0.00966829667654,-0.445296764425,5043,0.656124418934,friends,Friends,Categorical-change Model 3
change_increasing,Increasing loneliness vs stable,0.00205165502101,0.00523474074762,-0.00821071136155,0.0123140214036,0.391930588338,5043,0.695126062374,friends,Friends,Categorical-change Model 3
contact_increased,Increased contact vs maintained frequent,0.0054954164208,0.00689644477102,-0.00802461186513,0.0190154447067,0.796847738692,5043,0.425576978394,friends,Friends,Categorical-change Model 3
contact_decreased,Decreased contact vs maintained frequent,-0.0164104576423,0.00747274616873,-0.0310602870731,-0.00176062821144,-2.19604109008,5043,0.028134378339,friends,Friends,Categorical-change Model 3
contact_maintained_infrequent,Maintained infrequent vs maintained frequent,-0.0131248546039,0.00695953216158,-0.0267685615871,0.000518852379264,-1.88588173733,5043,0.0593683135276,friends,Friends,Categorical-change Model 3
decreasing_x_increased,Decreasing loneliness x increased contact,0.00504751380191,0.0121935140097,-0.018857071791,0.0289520993948,0.413950711657,5043,0.678927807594,friends,Friends,Categorical-change Model 3
decreasing_x_decreased,Decreasing loneliness x decreased contact,0.0258127189178,0.0129665747536,0.000392598368562,0.0512328394671,1.99071222804,5043,0.0465664147388,friends,Friends,Categorical-change Model 3
decreasing_x_maintained_infrequent,Decreasing loneliness x maintained infrequent,0.0269443443986,0.011142843348,0.0050995298236,0.0487891589737,2.41808518322,5043,0.0156376328485,friends,Friends,Categorical-change Model 3
increasing_x_increased,Increasing loneliness x increased contact,-0.0112091018049,0.0132950421529,-0.0372731611772,0.0148549575674,-0.843103893614,5043,0.399210327089,friends,Friends,Categorical-change Model 3
increasing_x_decreased,Increasing loneliness x decreased contact,-0.00302919230002,0.013178593208,-0.0288649611427,0.0228065765427,-0.229857030429,5043,0.818212189412,friends,Friends,Categorical-change Model 3
increasing_x_maintained_infrequent,Increasing loneliness x maintained infrequent,0.00253391077099,0.0115900328219,-0.0201875894788,0.0252554110207,0.218628437894,5043,0.826948345199,friends,Friends,Categorical-change Model 3
age_T2_centered,Age at T2 (per year; centered at 75),-0.00964569534311,0.000321282105689,-0.0102755478687,-0.00901584281752,-30.0225103494,5043,2.42968024839e-182,friends,Friends,Categorical-change Model 3
male,Male vs Female,0.0209282979632,0.00366373526898,0.0137457849274,0.028110810999,5.71228443834,5043,1.17859428773e-08,friends,Friends,Categorical-change Model 3
education,Education (years),-0.00226662004387,0.00068474543335,-0.00360901861805,-0.000924221469684,-3.31016452753,5043,0.000938961757964,friends,Friends,Categorical-change Model 3
race_black,Black/African American non-Hispanic vs White non-Hispanic,0.0151514957376,0.00595138964311,0.00348418613289,0.0268188053423,2.54587527388,5043,0.0109299122422,friends,Friends,Categorical-change Model 3
race_hispanic,Hispanic vs White non-Hispanic,0.0144183250084,0.00749748010447,-0.000279993683498,0.0291166437003,1.92308946573,5043,0.0545250602742,friends,Friends,Categorical-change Model 3
race_other,Other non-Hispanic vs White non-Hispanic,0.0359481503099,0.013503208555,0.00947599434032,0.0624203062796,2.66219322345,5043,0.0077879648982,friends,Friends,Categorical-change Model 3
wealth_ihs_T2,"IHS wealth at T2 (wealth/$100,000)",-0.00084420011457,0.00172918861665,-0.00423416114305,0.00254576091391,-0.48820591718,5043,0.625425219659,friends,Friends,Categorical-change Model 3
marital_separated_divorced,Separated/divorced vs married/partnered,0.0132946832681,0.00573616807048,0.00204930146039,0.0245400650757,2.31769416529,5043,0.0205057758542,friends,Friends,Categorical-change Model 3
marital_widowed,Widowed vs married/partnered,0.0148522421452,0.00437648938754,0.00627242134223,0.0234320629481,3.39364290187,5043,0.000695011043451,friends,Friends,Categorical-change Model 3
marital_never_married,Never married vs married/partnered,0.0297768674527,0.0071560523346,0.0157478955416,0.0438058393639,4.16107457861,5043,3.22026014798e-05,friends,Friends,Categorical-change Model 3
cohort_B,Cohort B vs Cohort A,-0.00701561695753,0.00337662583958,-0.0136352707615,-0.000395963153593,-2.07770042961,5043,0.0377874367578,friends,Friends,Categorical-change Model 3
Intercept,Intercept,-0.235448757062,0.0129036529556,-0.260745509131,-0.210152004992,-18.2466746332,5055,4.33799732617e-72,other_relatives,Other relatives,Categorical-change Model 3
cog_T2,Cognition at T2,1.07804219376,0.00330326628431,1.07156636025,1.08451802727,326.356430568,5055,0,other_relatives,Other relatives,Categorical-change Model 3
ucla3_T1,Loneliness at T1,-0.000103375180033,0.0043689588244,-0.00866842792603,0.00846167756596,-0.0236612850311,5055,0.981123721339,other_relatives,Other relatives,Categorical-change Model 3
change_decreasing,Decreasing loneliness vs stable,-0.010971554862,0.00795467004728,-0.0265661556057,0.00462304588166,-1.37925957919,5055,0.167875750242,other_relatives,Other relatives,Categorical-change Model 3
change_increasing,Increasing loneliness vs stable,-0.00420225720113,0.00705267684711,-0.0180285603603,0.00962404595801,-0.595838614505,5055,0.551309721131,other_relatives,Other relatives,Categorical-change Model 3
contact_increased,Increased contact vs maintained frequent,-0.0108285846068,0.00707743158414,-0.0247034177789,0.00304624856533,-1.53001614753,5055,0.126075303828,other_relatives,Other relatives,Categorical-change Model 3
