term,term_label,estimate,hc3_standard_error,ci_95_low,ci_95_high,t_value,df,p_value,domain,domain_label,cohort,model
Intercept,Intercept,-0.227672693217,0.0172818466737,-0.261560145189,-0.193785241245,-13.1740951946,2620,2.00448301236e-38,friends,Friends,A,Cohort-specific Model 3
cog_T2,Cognition at T2,1.07496609911,0.00443927453591,1.06626125955,1.08367093868,242.149047196,2620,0,friends,Friends,A,Cohort-specific Model 3
ucla3_T1,Loneliness at T1,-0.00076620940734,0.00592997746792,-0.0123941233932,0.0108617045786,-0.129209497251,2620,0.897201799341,friends,Friends,A,Cohort-specific Model 3
delta_loneliness,Change in loneliness,0.00407629206341,0.00940785902014,-0.0143712949754,0.0225238791022,0.433285836308,2620,0.664842794882,friends,Friends,A,Cohort-specific Model 3
contact_increased,Increased contact vs maintained frequent,-0.000999854709798,0.0069019296599,-0.0145336404377,0.0125339310181,-0.144865966341,2620,0.88482784046,friends,Friends,A,Cohort-specific Model 3
contact_decreased,Decreased contact vs maintained frequent,-0.0183600002876,0.00743318049327,-0.0329354997537,-0.00378450082159,-2.47000598254,2620,0.013574344924,friends,Friends,A,Cohort-specific Model 3
contact_maintained_infrequent,Maintained infrequent vs maintained frequent,-0.0015783245264,0.00683365904491,-0.0149782404642,0.0118215914114,-0.230963312045,2620,0.817361338006,friends,Friends,A,Cohort-specific Model 3
delta_x_increased,Loneliness change x increased contact,-0.0183798886539,0.0132477121515,-0.044356927899,0.00759715059128,-1.38740096733,2620,0.165437525803,friends,Friends,A,Cohort-specific Model 3
delta_x_decreased,Loneliness change x decreased contact,-0.0142832022753,0.0178542907624,-0.0492931425976,0.0207267380471,-0.799987099197,2620,0.423790798011,friends,Friends,A,Cohort-specific Model 3
delta_x_maintained_infrequent,Loneliness change x maintained infrequent,-0.0125810134556,0.0173543094455,-0.0466105554915,0.0214485285803,-0.724950393166,2620,0.468547201954,friends,Friends,A,Cohort-specific Model 3
age_T2_centered,Age at T2 (per year; centered at 75),-0.00938917280102,0.000461073579801,-0.010293278079,-0.00848506752303,-20.3637189645,2620,1.07275280586e-85,friends,Friends,A,Cohort-specific Model 3
male,Male vs Female,0.012451218529,0.00502313681664,0.00260150102852,0.0223009360295,2.47877352012,2620,0.0132460071665,friends,Friends,A,Cohort-specific Model 3
education,Education (years),-0.0019635634082,0.000965723822361,-0.00385722212804,-6.99046883706e-05,-2.0332556397,2620,0.0421273063592,friends,Friends,A,Cohort-specific Model 3
