term,term_label,estimate,hc3_standard_error,ci_95_low,ci_95_high,t_value,df,p_value,analysis_scope,cohort,model,covariance
Intercept,Intercept,-0.312371721474,0.00900245327923,-0.330020283,-0.294723159948,-34.6985107042,5239,1.18398398174e-237,Pooled,Combined,Model 1,HC3
cog_T2,Cognition at T2,1.0982976497,0.00323605247474,1.09195363775,1.10464166165,339.394264548,5239,0,Pooled,Combined,Model 1,HC3
ucla3_T1,Loneliness at T1,0.0076701097638,0.00459202955951,-0.00133218257766,0.0166724021053,1.67030931844,5239,0.0949179153594,Pooled,Combined,Model 1,HC3
delta_loneliness,Change in loneliness,-0.0123361565068,0.00530139646729,-0.0227291037207,-0.00194320929292,-2.32696358081,5239,0.0200051291782,Pooled,Combined,Model 1,HC3
Intercept,Intercept,-0.232233573588,0.0122984363333,-0.256343642374,-0.208123504801,-18.8831789094,5233,5.41702604084e-77,Pooled,Combined,Model 2,HC3
cog_T2,Cognition at T2,1.07661739423,0.00322917847484,1.0702868565,1.08294793195,333.402877114,5233,0,Pooled,Combined,Model 2,HC3
ucla3_T1,Loneliness at T1,0.00195056431525,0.0042329719812,-0.00634782768126,0.0102489563118,0.460802557614,5233,0.644959415654,Pooled,Combined,Model 2,HC3
delta_loneliness,Change in loneliness,-0.00955077322475,0.00490075497877,-0.0191582986403,5.67521907976e-05,-1.94883712124,5233,0.0513682462634,Pooled,Combined,Model 2,HC3
age_T2_centered,Age at T2 (per year; centered at 75),-0.00934088196461,0.000305628218203,-0.00994004084662,-0.0087417230826,-30.5628911478,5233,6.57803457517e-189,Pooled,Combined,Model 2,HC3
male,Male vs Female,0.0153093594388,0.00341862159539,0.008607434122,0.0220112847557,4.4782258029,5233,7.6866602214e-06,Pooled,Combined,Model 2,HC3
education,Education (years),-0.00246738130686,0.00064151254377,-0.00372501367072,-0.001209748943,-3.8461933922,5233,0.000121393023727,Pooled,Combined,Model 2,HC3
race_black,Black/African American non-Hispanic vs White non-Hispanic,0.0165916125818,0.00572457968833,0.00536904685735,0.0278141783063,2.89831105254,5233,0.00376737076848,Pooled,Combined,Model 2,HC3
race_hispanic,Hispanic vs White non-Hispanic,0.0146069909543,0.00719431926328,0.00050312216896,0.0287108597396,2.03035067248,5233,0.0423713801907,Pooled,Combined,Model 2,HC3
race_other,Other non-Hispanic vs White non-Hispanic,0.0328782013876,0.0144989009594,0.0044543034232,0.061302099352,2.26763404203,5233,0.0233921210433,Pooled,Combined,Model 2,HC3
Intercept,Intercept,-0.231484609672,0.0124598171051,-0.255911057539,-0.207058161805,-18.5784917803,5228,1.1623122048e-74,Pooled,Combined,Model 3,HC3
cog_T2,Cognition at T2,1.07694434256,0.00323578648465,1.07060084898,1.08328783615,332.823054818,5228,0,Pooled,Combined,Model 3,HC3
ucla3_T1,Loneliness at T1,-0.00189499726694,0.00432406998183,-0.0103719812461,0.00658198671223,-0.438243894039,5228,0.661227599389,Pooled,Combined,Model 3,HC3
delta_loneliness,Change in loneliness,-0.0116144656872,0.00492652285677,-0.0212725090364,-0.00195642233788,-2.35753817141,5228,0.0184332087654,Pooled,Combined,Model 3,HC3
age_T2_centered,Age at T2 (per year; centered at 75),-0.00956219418916,0.000316587333601,-0.0101828376492,-0.00894155072913,-30.2039695663,5228,7.27210646095e-185,Pooled,Combined,Model 3,HC3
male,Male vs Female,0.0197494743873,0.00356350793463,0.0127635098219,0.0267354389528,5.54214407534,5228,3.13428620763e-08,Pooled,Combined,Model 3,HC3
education,Education (years),-0.00231429919413,0.000665054099738,-0.0036180831228,-0.00101051526546,-3.47986606659,5228,0.000505759678314,Pooled,Combined,Model 3,HC3
race_black,Black/African American non-Hispanic vs White non-Hispanic,0.0128315330506,0.00578154806746,0.00149728301571,0.0241657830856,2.21939399291,5228,0.0265026891584,Pooled,Combined,Model 3,HC3
