term,term_label,estimate,hc3_standard_error,ci_95_low,ci_95_high,t_value,df,p_value,domain,domain_label,model
Intercept,Intercept,-0.309484787357,0.00928286061471,-0.327683214648,-0.291286360066,-33.3393767506,5058,1.73574362088e-220,friends,Friends,Model 1
cog_T2,Cognition at T2,1.09746008031,0.00334044400103,1.09091136329,1.10400879732,328.53718846,5058,0,friends,Friends,Model 1
ucla3_T1,Loneliness at T1,0.00780317807447,0.00475084923696,-0.00151054406351,0.0171169002124,1.64248067772,5058,0.100552588954,friends,Friends,Model 1
delta_loneliness,Change in loneliness,-0.00305758796722,0.00710006153409,-0.0169767836715,0.0108616077371,-0.430642460285,5058,0.666746711975,friends,Friends,Model 1
contact_increased,Increased contact vs maintained frequent,0.00677309144035,0.00572857393116,-0.00445739455921,0.0180035774399,1.18233464764,5058,0.237128520475,friends,Friends,Model 1
contact_decreased,Decreased contact vs maintained frequent,-0.0129410693171,0.00576874035342,-0.0242502989007,-0.00163183973351,-2.24330937506,5058,0.02491998424,friends,Friends,Model 1
contact_maintained_infrequent,Maintained infrequent vs maintained frequent,-0.00193203103208,0.00515664623733,-0.0120412910449,0.00817722898078,-0.374668135676,5058,0.707923000197,friends,Friends,Model 1
delta_x_increased,Loneliness change x increased contact,-0.00426686823062,0.0109043320366,-0.025644081782,0.0171103453207,-0.391300284723,5058,0.69559177095,friends,Friends,Model 1
delta_x_decreased,Loneliness change x decreased contact,-0.0242832291676,0.0143577896099,-0.0524307152847,0.00386425694948,-1.69129300731,5058,0.0908424594736,friends,Friends,Model 1
delta_x_maintained_infrequent,Loneliness change x maintained infrequent,-0.012180347715,0.0124726924556,-0.0366322269579,0.0122715315279,-0.976561216305,5058,0.328833130546,friends,Friends,Model 1
Intercept,Intercept,-0.230853776233,0.0125996288379,-0.255554512784,-0.206153039682,-18.3222679972,5052,1.1855100108e-72,friends,Friends,Model 2
cog_T2,Cognition at T2,1.07583835235,0.00330654923201,1.06935608192,1.08232062279,325.365895641,5052,0,friends,Friends,Model 2
ucla3_T1,Loneliness at T1,0.00283393302822,0.00438999069144,-0.00577235251608,0.0114402185725,0.645544199842,5052,0.518603901894,friends,Friends,Model 2
delta_loneliness,Change in loneliness,0.00243187720759,0.00650024863536,-0.0103114290536,0.0151751834688,0.374120644303,5052,0.708330260759,friends,Friends,Model 2
contact_increased,Increased contact vs maintained frequent,0.00294672659129,0.00520558835798,-0.0072584840763,0.0131519372589,0.566069844299,5052,0.57137144438,friends,Friends,Model 2
contact_decreased,Decreased contact vs maintained frequent,-0.0112574509334,0.0053316051976,-0.0217097092559,-0.000805192610985,-2.11145621557,5052,0.0347820979437,friends,Friends,Model 2
contact_maintained_infrequent,Maintained infrequent vs maintained frequent,-0.00654078802974,0.00477323899982,-0.0158984064602,0.00281683040069,-1.37030390265,5052,0.170652941427,friends,Friends,Model 2
delta_x_increased,Loneliness change x increased contact,-0.0127407824043,0.0098893950019,-0.032128285301,0.00664672049238,-1.28832778971,5052,0.197690883019,friends,Friends,Model 2
delta_x_decreased,Loneliness change x decreased contact,-0.0231590791494,0.0134707188645,-0.0495675299148,0.00324937161594,-1.71921627808,5052,0.0856362535852,friends,Friends,Model 2
delta_x_maintained_infrequent,Loneliness change x maintained infrequent,-0.0169104828501,0.0113904973338,-0.0392407972942,0.005419831594,-1.4846132135,5052,0.137708701893,friends,Friends,Model 2
age_T2_centered,Age at T2 (per year; centered at 75),-0.00940202237736,0.000309101342468,-0.0100079950553,-0.00879604969943,-30.4172809549,5052,9.2858608206e-187,friends,Friends,Model 2
male,Male vs Female,0.0165039100443,0.00352460225672,0.0095941611215,0.0234136589672,4.68248864475,5052,2.90834642489e-06,friends,Friends,Model 2
education,Education (years),-0.00242645469656,0.000658987190281,-0.00371835536975,-0.00113455402336,-3.68209690923,5052,0.000233739269484,friends,Friends,Model 2
race_black,Black/African American non-Hispanic vs White non-Hispanic,0.0183294855917,0.00590183740594,0.00675932485069,0.0298996463328,3.1057252735,5052,0.00190864734422,friends,Friends,Model 2
race_hispanic,Hispanic vs White non-Hispanic,0.0156080684641,0.00747821671598,0.000947520653528,0.0302686162747,2.08713775716,5052,0.036925682265,friends,Friends,Model 2
race_other,Other non-Hispanic vs White non-Hispanic,0.0375348189921,0.0138343987379,0.0104133979595,0.0646562400248,2.71315144975,5052,0.00668725980766,friends,Friends,Model 2
Intercept,Intercept,-0.230584998998,0.0127736754956,-0.255626948422,-0.205543049575,-18.0515779563,5047,1.226534742e-70,friends,Friends,Model 3
cog_T2,Cognition at T2,1.07617435653,0.00331292350193,1.06967958822,1.08266912483,324.841293769,5047,0,friends,Friends,Model 3
ucla3_T1,Loneliness at T1,-0.00140768223669,0.00449649862948,-0.0102227716212,0.00740740714777,-0.313061862727,5047,0.754246598529,friends,Friends,Model 3
delta_loneliness,Change in loneliness,0.000420314943108,0.00651142613918,-0.0123449071034,0.0131855369896,0.0645503664058,5047,0.948534560548,friends,Friends,Model 3
contact_increased,Increased contact vs maintained frequent,0.00357778349867,0.00521418834315,-0.00664428929614,0.0137998562935,0.686163073371,5047,0.492641800257,friends,Friends,Model 3
contact_decreased,Decreased contact vs maintained frequent,-0.0099838536661,0.00534325419632,-0.0204589515646,0.000491244232455,-1.8684968559,5047,0.0617507381394,friends,Friends,Model 3
contact_maintained_infrequent,Maintained infrequent vs maintained frequent,-0.00451316057749,0.00480391078222,-0.0139309112385,0.00490459008357,-0.9394763521,5047,0.347531187042,friends,Friends,Model 3
delta_x_increased,Loneliness change x increased contact,-0.0125229944172,0.0098243530343,-0.0317829914233,0.00673700258897,-1.27468896664,5047,0.202478035202,friends,Friends,Model 3
delta_x_decreased,Loneliness change x decreased contact,-0.0240418622313,0.0133811806987,-0.0502747855898,0.00219106112722,-1.79669214344,5047,0.0724442792004,friends,Friends,Model 3
delta_x_maintained_infrequent,Loneliness change x maintained infrequent,-0.0176121608979,0.0114296699967,-0.0400192760686,0.00479495427276,-1.54091595847,5047,0.123399933143,friends,Friends,Model 3
