section,characteristic,Combined,Cohort A,Cohort B
Sample,N,"5,080","2,638","2,442"
Continuous: mean (SD),"Age at T2, years",76.95 (5.85),76.99 (5.96),76.92 (5.73)
Continuous: mean (SD),"Education, years",12.74 (2.90),12.76 (2.87),12.72 (2.93)
Continuous: mean (SD),Loneliness at T1,1.40 (0.50),1.41 (0.50),1.40 (0.50)
Continuous: mean (SD),Loneliness at T2,1.42 (0.50),1.42 (0.50),1.42 (0.50)
Continuous: mean (SD),Change in loneliness (T2 − T1),0.02 (0.47),0.01 (0.48),0.02 (0.47)
Continuous: mean (SD),Cognition at T2,1.46 (0.71),1.46 (0.72),1.46 (0.71)
Continuous: mean (SD),Cognition at T3,1.30 (0.80),1.31 (0.81),1.30 (0.79)
Continuous: median [IQR],"Wealth at T2, dollars","$201,500 [$71,978, $487,000]","$213,112 [$77,000, $491,668]","$185,000 [$67,000, $483,375]"
Categorical: n (%),Sex: Female,"2,937 (57.8%)","1,493 (56.6%)","1,444 (59.1%)"
Categorical: n (%),Sex: Male,"2,143 (42.2%)","1,145 (43.4%)",998 (40.9%)
Categorical: n (%),"Race/ethnicity: White, non-Hispanic","4,229 (83.2%)","2,215 (84.0%)","2,014 (82.5%)"
Categorical: n (%),"Race/ethnicity: Black/African American, non-Hispanic",474 (9.3%),242 (9.2%),232 (9.5%)
Categorical: n (%),Race/ethnicity: Hispanic,299 (5.9%),141 (5.3%),158 (6.5%)
Categorical: n (%),"Race/ethnicity: Other, non-Hispanic",78 (1.5%),40 (1.5%),38 (1.6%)
Categorical: n (%),Marital status at T2: Married/partnered,"3,048 (60.0%)","1,616 (61.3%)","1,432 (58.6%)"
Categorical: n (%),Marital status at T2: Separated/divorced,464 (9.1%),216 (8.2%),248 (10.2%)
Categorical: n (%),Marital status at T2: Widowed,"1,450 (28.5%)",753 (28.5%),697 (28.5%)
Categorical: n (%),Marital status at T2: Never married,118 (2.3%),53 (2.0%),65 (2.7%)
Categorical: n (%),Other relatives contact transition: Maintained frequent,"1,873 (36.9%)",962 (36.5%),911 (37.3%)
Categorical: n (%),Other relatives contact transition: Increased contact,794 (15.6%),431 (16.3%),363 (14.9%)
Categorical: n (%),Other relatives contact transition: Decreased contact,743 (14.6%),390 (14.8%),353 (14.5%)
Categorical: n (%),Other relatives contact transition: Maintained infrequent,"1,670 (32.9%)",855 (32.4%),815 (33.4%)
