Domain,Contact transition,Slope,95% CI,p
Friends,Maintained frequent,0.0004,"[-0.0123, 0.0132]",.949
Friends,Increased contact,-0.0121,"[-0.0282, 0.0040]",.141
Friends,Decreased contact,-0.0236,"[-0.0475, 0.0003]",.053
Friends,Maintained infrequent,-0.0172,"[-0.0372, 0.0028]",.093
Other relatives,Maintained frequent,-0.0070,"[-0.0231, 0.0091]",.393
Other relatives,Increased contact,-0.0161,"[-0.0355, 0.0032]",.102
Other relatives,Decreased contact,-0.0185,"[-0.0392, 0.0022]",.079
Other relatives,Maintained infrequent,-0.0082,"[-0.0235, 0.0072]",.297
Children,Maintained frequent,-0.0170,"[-0.0284, -0.0057]",.003
Children,Increased contact,0.0077,"[-0.0274, 0.0428]",.666
Children,Decreased contact,0.0183,"[-0.0114, 0.0480]",.228
Children,Maintained infrequent,-0.0117,"[-0.0386, 0.0152]",.396
