hhidpn,hhidpn_padded,hhid,pn,year,wave,respondent_type,who_answered_raw,lb_rtype_raw,lb_eligible_raw,lb_completion_mode_raw,lb_record_present,source_who_answered_variable
3010,000003010,000003,010,2006,8,1,1,4,1,1,1,KLB051
3010,000003010,000003,010,2008,9,,,1,5,,1,LLB051
3010,000003010,000003,010,2010,10,1,1,4,1,1,1,MLB051
3010,000003010,000003,010,2012,11,,,1,5,,1,NLB085
3020,000003020,000003,020,2006,8,1,1,4,1,1,1,KLB051
3020,000003020,000003,020,2008,9,,,1,5,,1,LLB051
3020,000003020,000003,020,2010,10,1,1,4,1,1,1,MLB051
3020,000003020,000003,020,2012,11,,,1,5,,1,NLB085
3020,000003020,000003,020,2014,12,1,1,4,1,1,1,OLB077
10001010,010001010,010001,010,2006,8,,,1,5,,1,KLB051
10001010,010001010,010001,010,2008,9,1,1,2,1,1,1,LLB051
10001010,010001010,010001,010,2010,10,,,1,5,,1,MLB051
10001010,010001010,010001,010,2012,11,1,1,2,1,1,1,NLB085
10001010,010001010,010001,010,2014,12,,,1,5,,1,OLB077
10001010,010001010,010001,010,2016,13,,,2,1,5,1,PLB077
10003030,010003030,010003,030,2006,8,2,2,4,1,4,1,KLB051
10003030,010003030,010003,030,2008,9,,,1,5,,1,LLB051
10003030,010003030,010003,030,2010,10,,9,4,1,1,1,MLB051
10003030,010003030,010003,030,2012,11,,,1,5,,1,NLB085
10003030,010003030,010003,030,2014,12,1,1,4,1,1,1,OLB077
10003030,010003030,010003,030,2016,13,,,1,5,,1,PLB077
10004010,010004010,010004,010,2006,8,1,1,4,1,1,1,KLB051
10004010,010004010,010004,010,2008,9,,,1,5,,1,LLB051
10004010,010004010,010004,010,2010,10,1,1,4,1,1,1,MLB051
10004040,010004040,010004,040,2006,8,1,1,4,1,1,1,KLB051
10004040,010004040,010004,040,2008,9,,,1,5,,1,LLB051
10004040,010004040,010004,040,2010,10,1,1,4,1,1,1,MLB051
10004040,010004040,010004,040,2012,11,,,1,5,,1,NLB085
10004040,010004040,010004,040,2014,12,1,1,4,1,1,1,OLB077
10004040,010004040,010004,040,2016,13,,,1,5,,1,PLB077
10013010,010013010,010013,010,2006,8,1,1,4,1,1,1,KLB051
10013010,010013010,010013,010,2008,9,,,1,5,,1,LLB051
10013010,010013010,010013,010,2010,10,,9,4,1,1,1,MLB051
10013010,010013010,010013,010,2012,11,,,1,5,,1,NLB085
10013010,010013010,010013,010,2014,12,,,3,1,5,1,OLB077
10013040,010013040,010013,040,2006,8,1,1,4,1,1,1,KLB051
10013040,010013040,010013,040,2008,9,,,1,5,,1,LLB051
10013040,010013040,010013,040,2010,10,1,1,4,1,1,1,MLB051
10013040,010013040,010013,040,2012,11,,,1,5,,1,NLB085
10013040,010013040,010013,040,2014,12,1,1,4,1,1,1,OLB077
10013040,010013040,010013,040,2016,13,,,1,5,,1,PLB077
10038010,010038010,010038,010,2006,8,1,1,4,1,1,1,KLB051
10038010,010038010,010038,010,2008,9,,,1,5,,1,LLB051
10038010,010038010,010038,010,2010,10,1,1,4,1,1,1,MLB051
10038010,010038010,010038,010,2012,11,,,1,5,,1,NLB085
10038010,010038010,010038,010,2014,12,1,1,4,1,1,1,OLB077
10038010,010038010,010038,010,2016,13,,,1,5,,1,PLB077
10038040,010038040,010038,040,2006,8,1,1,4,1,1,1,KLB051
10038040,010038040,010038,040,2008,9,,,1,5,,1,LLB051
10038040,010038040,010038,040,2010,10,1,1,4,1,1,1,MLB051
10038040,010038040,010038,040,2012,11,,,1,5,,1,NLB085
10038040,010038040,010038,040,2014,12,1,1,4,1,1,1,OLB077
10038040,010038040,010038,040,2016,13,,,1,5,,1,PLB077
10050010,010050010,010050,010,2006,8,1,1,4,1,1,1,KLB051
10050010,010050010,010050,010,2008,9,,,1,5,,1,LLB051
10050010,010050010,010050,010,2010,10,,,4,1,5,1,MLB051
10050010,010050010,010050,010,2012,11,,,1,5,,1,NLB085
10050010,010050010,010050,010,2014,12,1,1,4,1,1,1,OLB077
10050010,010050010,010050,010,2016,13,,,1,5,,1,PLB077
10059020,010059020,010059,020,2006,8,1,1,4,1,1,1,KLB051
10059020,010059020,010059,020,2008,9,,,1,5,,1,LLB051
10059020,010059020,010059,020,2010,10,1,1,4,1,1,1,MLB051
10059020,010059020,010059,020,2012,11,,,1,5,,1,NLB085
10059020,010059020,010059,020,2014,12,,,4,1,5,1,OLB077
10059020,010059020,010059,020,2016,13,,,1,5,,1,PLB077
10059030,010059030,010059,030,2006,8,,,4,1,5,1,KLB051
10059030,010059030,010059,030,2008,9,,,1,5,,1,LLB051
