hhidpn,hhidpn_padded,hhid,pn,respondent_type_w8,respondent_type_w9,respondent_type_w10,respondent_type_w11,respondent_type_w12,respondent_type_w13,lb_record_present_w8,who_answered_raw_w8,lb_rtype_raw_w8,lb_eligible_raw_w8,lb_completion_mode_raw_w8,lb_record_present_w9,who_answered_raw_w9,lb_rtype_raw_w9,lb_eligible_raw_w9,lb_completion_mode_raw_w9,lb_record_present_w10,who_answered_raw_w10,lb_rtype_raw_w10,lb_eligible_raw_w10,lb_completion_mode_raw_w10,lb_record_present_w11,who_answered_raw_w11,lb_rtype_raw_w11,lb_eligible_raw_w11,lb_completion_mode_raw_w11,lb_record_present_w12,who_answered_raw_w12,lb_rtype_raw_w12,lb_eligible_raw_w12,lb_completion_mode_raw_w12,lb_record_present_w13,who_answered_raw_w13,lb_rtype_raw_w13,lb_eligible_raw_w13,lb_completion_mode_raw_w13,n_lb_wave_records,n_respondent_type_observed,n_code1_waves,n_code2_waves,first_lb_wave,last_lb_wave
3010,000003010,000003,010,1,,1,,,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,0,,,,,0,,,,,4,2,2,0,8,11
3020,000003020,000003,020,1,,1,,1,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,0,,,,,5,3,3,0,8,12
10001010,010001010,010001,010,,1,,1,,,1,,1,5,,1,1,2,1,1,1,,1,5,,1,1,2,1,1,1,,1,5,,1,,2,1,5,6,2,2,0,8,13
10003030,010003030,010003,030,2,,,,1,,1,2,4,1,4,1,,1,5,,1,9,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,2,1,1,8,13
10004010,010004010,010004,010,1,,1,,,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,0,,,,,0,,,,,0,,,,,3,2,2,0,8,10
10004040,010004040,010004,040,1,,1,,1,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,3,3,0,8,13
10013010,010013010,010013,010,1,,,,,,1,1,4,1,1,1,,1,5,,1,9,4,1,1,1,,1,5,,1,,3,1,5,0,,,,,5,1,1,0,8,12
10013040,010013040,010013,040,1,,1,,1,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,3,3,0,8,13
10038010,010038010,010038,010,1,,1,,1,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,3,3,0,8,13
10038040,010038040,010038,040,1,,1,,1,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,3,3,0,8,13
10050010,010050010,010050,010,1,,,,1,,1,1,4,1,1,1,,1,5,,1,,4,1,5,1,,1,5,,1,1,4,1,1,1,,1,5,,6,2,2,0,8,13
10059020,010059020,010059,020,1,,1,,,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,,4,1,5,1,,1,5,,6,2,2,0,8,13
10059030,010059030,010059,030,,,,,,,1,,4,1,5,1,,1,5,,1,,4,1,5,1,,1,5,,1,,4,1,5,1,,1,5,,6,0,0,0,8,13
10063010,010063010,010063,010,,,,1,,,1,,1,5,,0,,,,,1,,1,5,,1,1,4,1,1,1,,1,5,,1,,2,1,5,5,1,1,0,8,13
10075020,010075020,010075,020,,2,,2,,2,1,,1,5,,1,2,4,1,1,1,,1,5,,1,2,4,1,1,1,,1,5,,1,2,4,1,1,6,3,0,3,8,13
10075030,010075030,010075,030,,,,,,,1,,1,5,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,0,0,0,8,8
10083010,010083010,010083,010,,,,,,,1,,1,5,,1,,4,1,5,0,,,,,0,,,,,0,,,,,0,,,,,2,0,0,0,8,9
10083020,010083020,010083,020,,1,,,,,1,,1,5,,1,1,4,1,1,1,,1,5,,1,,4,1,5,0,,,,,0,,,,,4,1,1,0,8,11
10097040,010097040,010097,040,,1,,1,,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,6,3,3,0,8,13
10099010,010099010,010099,010,,,,,,2,0,,,,,0,,,,,1,,1,5,,0,,,,,1,,1,5,,1,2,4,1,1,3,1,0,1,10,13
10106010,010106010,010106,010,,,,,,1,0,,,,,0,,,,,0,,,,,1,,4,1,5,1,,1,5,,1,1,4,1,1,3,1,1,0,11,13
10106020,010106020,010106,020,,,,,,,0,,,,,0,,,,,0,,,,,1,,4,1,5,1,,1,5,,1,,4,1,5,3,0,0,0,11,13
10109030,010109030,010109,030,,,1,,,,1,,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,,4,1,1,1,,1,5,,6,1,1,0,8,13
10147010,010147010,010147,010,1,,2,,2,,1,1,4,1,1,1,,1,5,,1,2,4,1,1,1,,1,5,,1,2,4,1,1,1,,1,5,,6,3,1,2,8,13
10196010,010196010,010196,010,1,,,,,,1,1,4,1,1,1,,1,5,,1,,4,1,5,1,,1,5,,0,,,,,0,,,,,4,1,1,0,8,11
10206010,010206010,010206,010,,1,,1,,,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,0,,,,,0,,,,,4,2,2,0,8,11
10210010,010210010,010210,010,,1,,,,,1,,1,5,,1,1,4,1,1,0,,,,,0,,,,,0,,,,,0,,,,,2,1,1,0,8,9
10210020,010210020,010210,020,,2,,,,,1,,1,5,,1,2,4,1,1,1,,1,5,,1,,4,1,1,1,,1,5,,1,,2,1,5,6,1,0,1,8,13
10225010,010225010,010225,010,1,,,,,,1,1,4,1,1,1,,1,5,,1,,4,1,5,1,,1,5,,1,,4,1,5,0,,,,,5,1,1,0,8,12
10281010,010281010,010281,010,,,,,,,1,,1,5,,0,,,,,1,,1,5,,1,,4,1,1,1,,1,5,,1,,2,1,5,5,0,0,0,8,13
10281020,010281020,010281,020,,,,,,1,1,,1,5,,0,,,,,0,,,,,1,,4,1,1,1,,1,5,,1,1,4,1,1,4,1,1,0,8,13
10299010,010299010,010299,010,,1,,,,,1,,1,5,,1,1,2,1,1,1,,1,5,,1,,2,1,5,1,,1,5,,1,,2,1,5,6,1,1,0,8,13
10299011,010299011,010299,011,,,,,,,0,,,,,1,,4,1,5,1,,1,5,,1,,2,1,5,1,,1,5,,0,,,,,4,0,0,0,9,12
10299012,010299012,010299,012,,,,,,,1,,1,5,,1,,2,1,5,1,,1,5,,1,,2,1,5,0,,,,,0,,,,,4,0,0,0,8,11
10325020,010325020,010325,020,,,,1,,1,0,,,,,0,,,,,0,,,,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,3,2,2,0,11,13
10372010,010372010,010372,010,,1,,1,,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,6,3,3,0,8,13
10394010,010394010,010394,010,,1,,1,,,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,2,1,1,0,,,,,0,,,,,4,2,2,0,8,11
10394040,010394040,010394,040,,1,,1,,,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,2,1,1,0,,,,,0,,,,,4,2,2,0,8,11
10395010,010395010,010395,010,,1,,,,,1,,1,5,,1,1,4,1,1,0,,,,,0,,,,,0,,,,,0,,,,,2,1,1,0,8,9
10395020,010395020,010395,020,,1,,1,,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,6,3,3,0,8,13
10397010,010397010,010397,010,,1,,1,,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,6,3,3,0,8,13
10397040,010397040,010397,040,,1,,1,,,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,0,,,,,0,,,,,4,2,2,0,8,11
10404010,010404010,010404,010,1,,1,,1,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,3,3,0,8,13
10433010,010433010,010433,010,,1,,,,,1,,1,5,,1,1,2,1,1,1,,1,5,,1,,2,1,1,1,,1,5,,1,,2,1,5,6,1,1,0,8,13
10451010,010451010,010451,010,1,,1,,1,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,3,3,0,8,13
10451020,010451020,010451,020,1,,2,,1,,1,1,4,1,1,1,,1,5,,1,2,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,3,2,1,8,13
10453010,010453010,010453,010,1,,1,,1,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,3,3,0,8,13
10453020,010453020,010453,020,1,,1,,,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,,4,1,1,1,,1,5,,6,2,2,0,8,13
10458020,010458020,010458,020,1,,,,1,,1,1,4,1,1,0,,,,,0,,,,,1,,1,5,,1,1,4,1,1,1,,1,5,,4,2,2,0,8,13
10458030,010458030,010458,030,1,,,,1,,1,1,4,1,1,0,,,,,0,,,,,1,,1,5,,1,1,4,1,1,1,,1,5,,4,2,2,0,8,13
10465010,010465010,010465,010,,,,,,,1,,4,1,5,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,0,0,0,8,8
10475010,010475010,010475,010,,1,,1,,,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,,2,1,5,6,2,2,0,8,13
10475011,010475011,010475,011,,1,,1,,,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,0,,,,,0,,,,,4,2,2,0,8,11
10477010,010477010,010477,010,,1,,,,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,,4,1,1,1,,1,5,,1,1,4,1,1,6,2,2,0,8,13
10477020,010477020,010477,020,,2,,,,2,1,,1,5,,1,2,4,1,1,1,,1,5,,1,,4,1,1,1,,1,5,,1,2,4,1,1,6,2,0,2,8,13
10481010,010481010,010481,010,1,,1,,1,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,3,3,0,8,13
10481020,010481020,010481,020,1,,1,,1,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,3,3,0,8,13
10482010,010482010,010482,010,,,,,,,1,,4,1,5,1,,1,5,,1,,4,1,5,1,,1,5,,1,,4,1,5,0,,,,,5,0,0,0,8,12
10533010,010533010,010533,010,,1,,,,,1,,1,5,,1,1,4,1,1,1,,1,5,,0,,,,,0,,,,,0,,,,,3,1,1,0,8,10
10533011,010533011,010533,011,,,,,,,1,,1,5,,1,,4,1,5,1,,1,5,,1,,4,1,1,1,,1,5,,1,,2,1,5,6,0,0,0,8,13
10537010,010537010,010537,010,1,,,,,,1,1,4,1,1,1,,1,5,,1,,4,1,5,1,,1,5,,1,,4,1,5,1,,1,5,,6,1,1,0,8,13
10537011,010537011,010537,011,,,1,,,,0,,,,,1,,1,5,,1,1,4,1,1,1,,1,5,,1,,4,1,5,1,,1,5,,5,1,1,0,9,13
